time,true_negatives,false_negatives,true_positives,false_positives
2016-11-08 13:35:38.933679,5363.0,669.0,486.0,330.0
2016-11-08 14:14:03.382562,5318.0,627.0,528.0,375.0
2016-11-08 14:26:03.228504,5293.0,630.0,525.0,400.0
2016-11-08 15:19:58.360474,5300.0,627.0,528.0,393.0
2016-11-08 15:28:16.094807,5312.0,634.0,521.0,381.0
2016-11-08 15:33:45.318173,5284.0,636.0,519.0,409.0
2016-11-08 16:06:07.208337,5344.0,650.0,505.0,349.0
2016-11-08 21:06:35.898520,4980.0,354.0,6481.0,683.0
2016-11-09 07:00:24.195327,4970.0,330.0,6505.0,693.0
2016-11-09 09:34:51.687712,5321.0,635.0,520.0,372.0
2016-11-09 09:44:04.843687,5326.0,622.0,533.0,367.0
2016-11-09 09:50:57.827592,5322.0,642.0,513.0,371.0
2016-11-09 10:05:51.323875,5312.0,625.0,530.0,381.0
2016-11-09 10:08:14.227407,5326.0,627.0,528.0,367.0
2016-11-09 10:22:40.998964,5362.0,646.0,509.0,331.0
2016-11-09 10:37:50.869195,5348.0,644.0,511.0,345.0
2016-11-09 10:55:01.541743,5334.0,661.0,494.0,359.0
2016-11-09 11:05:33.873302,5354.0,643.0,512.0,339.0
2016-11-09 11:45:25.035855,5359.0,656.0,499.0,334.0
2016-11-09 12:18:50.784506,5499.0,337.0,26.0,108.0
2016-11-09 12:23:20.005886,5507.0,323.0,34.0,93.0
2016-11-09 12:26:09.449140,5335.0,655.0,500.0,358.0
